question,option_1,option_2,option_3,option_4,correct_option,Subject,topic,correct_answer,Correct_Option_Number
Choose the correct option about light.,Light requires a material medium to travel from one place to another,Light does not require a material medium to propagate,Light has mass but it is negligible,Light waves are longitudinal wave,,Physics,Optics,Light requires a material medium to travel from one place to another,1
"The danger signals installed at the top of tall buildings are red in colour. These can be easily seen from a distance
because among all other colours, the red light:",is scattered the most by smoke or fog.,is scattered the least by smoke or fog,is absorbed the most by smoke or fog.,moves fastest in air,,Physics,Optics,is scattered the most by smoke or fog.,1
"The mirror used in automobiles to see
the rear field of view is",concave,convex,plane,none of these,,Physics,Optics,concave,1
"A photoelectric cell is lightened by a light source, situated at a distance \( d \) from the cell. If distance becomes \( \boldsymbol{d} / \mathbf{2} \)
then number of electrons emitted per sec will be:-",Remains same,Four times,Two times,One fourth,,Physics,Optics,Remains same,1
"What happens when a ray of light is
made to fall on a mirror along the
normal?",The ray that comes after reflection makes \( 60^{\circ} \) with the mirror,The ray that comes after reflection will be parallel to the mirror,The ray after reflection retraces its path.,"After reflection, the ray does not come back",,Physics,Optics,The ray that comes after reflection makes \( 60^{\circ} \) with the mirror,1
The radius of curvature for a plane mirror is,Positive,Negative,Infinite,None of these,,Physics,Optics,Positive,1
Which of the following lens is used to minimise myopia?,Convex lens,Concave lens,Cylindrical lens,Planar lens,,Physics,Optics,Convex lens,1
"The term refraction of light is best
described by:",The bending of light rays when they enter from one medium to another medium,Splitting of white light into seven colours when it passes through the prism,"Bending of light round corners of obstacles and
apertures",Coming back of light from a bright smooth surface,,Physics,Optics,The bending of light rays when they enter from one medium to another medium,1
A concave mirror forms an erect image of an object placed at a distance of 10 \( \mathrm{cm} \) from it. The size of the image is double that of the object. Where is the image formed?,20 cm behind the mirror,20 cm in front of the mirror,\( 40 \mathrm{cm} \) behind the mirror,\( 40 \mathrm{cm} \) in front of the mirror,,Physics,Optics,20 cm behind the mirror,1
Heavily doped p-n junction diode which emits light when it is forward biased is/are:,zener diode,photo-diode,light emitting diode,all of the above,,Physics,Optics,zener diode,1
"The spectrum, in which the colours are separated using a narrow source of light, is called:",pure spectrum,rainbow,impure spectrum,none of these,,Physics,Optics,pure spectrum,1
The phenomenon of scattering of light by fine particles is called,Snell's law,Dispersion effect,Law of refraction,Tyndall effect,,Physics,Optics,Snell's law,1
"In a beaker containing colloidal solution of sodium thiosulphate and a drop of con. sulphuric acid, light observed from side of beaker is:",Blue,Red,Green,Yellow,,Physics,Optics,Blue,1
At what angle the rectangular mirrors are set to each other in Kaleidoscope?,90 degree,30 degree,60 degree,120 degree,,Physics,Optics,90 degree,1
Which of the following are the main categories in Spherical Mirrors?,Plane and Curved,Concave and Convex,Virtual and Real,Upright and Inverted,,Physics,Optics,Plane and Curved,1
"Assertion: In optical fibre, the diameter of the core is kept small.

Reason: This smaller diameter of the
core ensures that the fibre should have incident angle more than the critical angle required for total internal reflection.",Both assertion and reason are true but the reason is the correct explanation of assertion,Both assertion and reason are true but the reason is not the correct explanation of assertion,Assertion is true but reason is false,"Both the assertion and reason are false
E. Reason is true but assertion is false",,Physics,Optics,Both assertion and reason are true but the reason is the correct explanation of assertion,1
"A point object is placed at a distance \( 10 c m \) and its real image is formed at a
distance of \( 20 \mathrm{cm} \) from concave mirror
If the object is moved by \( 0.1 \mathrm{cm} \) towards the mirror, the image will shift by about",\( 0.4 \mathrm{cm} \) away from the mirror,\( 0.4 \mathrm{cm} \) towards the mirror,\( 0.8 c m \) away from the mirror,\( 0.8 \mathrm{cm} \) towards the mirror,,Physics,Optics,\( 0.4 \mathrm{cm} \) away from the mirror,1
Which of the following does not lie in the plane of reflection?,Reflecting surface,Incident ray,Normal at the point of incidence,Reflected ray,,Physics,Optics,Reflecting surface,1
Optical fibre works on the principle of,Scattering,Refraction,Total internal reflection,Interference,,Physics,Optics,Scattering,1
How is lightening beneficial to plants?,"It brings rain,","It increases the amount of nitrates in the soil,","It increases the minerals in the soil,","It provides the chemical energy required by plants,",,Physics,Optics,"It brings rain,",1
"Assertion: Different colours travel with
different speed in vacuum.

Reason: Wavelength of light depends on refractive index of medium.",Both assertion and reason are true but the reason is the correct explanation of assertion,Both assertion and reason are true but the reason is not the correct explanation of assertion,Assertion is true but reason is false,"Both the assertion and reason are false
E. Reason is true but assertion is false",,Physics,Optics,Both assertion and reason are true but the reason is the correct explanation of assertion,1
"Bouncing of light into the same medium, from which the light ray is incident, is termed as",Refraction,Diffraction,Reflection,Scattering,,Physics,Optics,Refraction,1
"A convex lens is immersed in water
Compared to its power in air, its power in water will.",Increase,Remain the same,Diminish for red light and increase for blue light,Diminish,,Physics,Optics,Increase,1
"A convex lens forms a real image of a point object placed on its principal axis. If the upper half of the lens is painted black
(i) The image will be shifted downward
\( (i i) \) The image will be shifted upward
\( (i i i) \) The image will not be shifted
\( (i v) \) The intensity of the image will decrease",(i) and ( \( (i) \) ),(ii) and (iii),\( (i i i) \) and \( (i v) \),only \( (i v) \),,Physics,Optics,(i) and ( \( (i) \) ),1
Which property of light is known as rectilinear propagation of light?,Light does not need a material medium to trave,Light does not change the property of media through which it travels,Light always travels in a straight line,All of the above,,Physics,Optics,Light does not need a material medium to trave,1
When an object is placed between optical centre and focus of lens:,"Inverted, real and enlarged image is formed","Virtual, erect and enlarged image is formed","Inverted, erect, diminished image is formed","Virtual, real, diminished image is formed",,Physics,Optics,"Inverted, real and enlarged image is formed",1
Which of the following are examples of multiple reflections of sound?,Stethoscope,Sound board,Megaphone,All of the above,,Physics,Optics,Stethoscope,1
"In Youngs double slit experiment, the
slits are \( 2 m m \) apart and are
¡IIluminated with a mixture of two
wavelengths \( \lambda=12000 A^{\circ} \) and \( \lambda= \)
\( 10000 A^{\circ} . \) At what minimum distance
from the common central bright fringe
on a screen \( 2 m \) from the slits will a
bright fringe from one interference
coincide with a bright fringe from the other?",\( 3.2 \mathrm{mm} \),\( 6.0 \mathrm{mm} \),\( 7.2 \mathrm{mm} \),\( 9.2 \mathrm{mm} \),,Physics,Optics,\( 3.2 \mathrm{mm} \),1
"Fill in the blank:
A boy blinks his right eye. Mirror image of the boy blinks its \( _{-}-_{-}-_{-}- \) eye",both,right,none,left,,Physics,Optics,both,1
The ratio of the speed of light in a vacuum to the speed of light in a particular material is called what?,the coefficient of diffraction of the material.,the index of refraction of the material,the coefficient of refraction to the material,"the index of diffraction of the material.
E. the modulus of diffraction of the material.",,Physics,Optics,the coefficient of diffraction of the material.,1
"In the white light of sun, maximum
scattering by the air molecules present in the earth's atmosphere is for:",red colour,yellow colour,green colour,blue colour,,Physics,Optics,red colour,1
"An object \( A B \) is placed parallel and
close to the optical axis between focus
\( F \) and center of curvature \( C \) of a
converging mirror of focal length \( \boldsymbol{f} \) as
shown in figure. Then
This question has multiple correct options","Image of \( A \) will be closer than that of \( B \) from the
mirror",Image of \( A B \) will be parallel to the optical axis,Image of \( A B \) will be a straight line inclined to the optical axis,Image of \( A B \) will not be a straight line,,Physics,Optics,"Image of \( A \) will be closer than that of \( B \) from the
mirror",1
"A child is standing in tront ot a straight plane mirror. His father is standing
behind him, as shown in the fig. The
height of the father is double the height
of the child. What is the minimum
length of the mirror required so that the
child can completely see his own image
and his fathers image in the mirror?
Given that the height of father is \( 2 H \)
\( \mathbf{A} \cdot H / 2 \)","What is the minimum
length of the mirror required so that the
child can completely see his own image
and his fathers image in the mirror?
Given that the height of father is \( 2 H \)
\( \mathbf{A} \cdot H / 2 \)",\( 5 H / 6 \),\( 3 H / 2 \),None of these,,Physics,Optics,"What is the minimum
length of the mirror required so that the
child can completely see his own image
and his fathers image in the mirror?
Given that the height of father is \( 2 H \)
\( \mathbf{A} \cdot H / 2 \)",1
"A plane wave front falls on a convex lens
The emergent wave front:",converges to a point,diverges from a point,does not suffer any refraction,may or may not converge at point,,Physics,Optics,converges to a point,1
An image formed by a plane mirror is:,erect and smaller than the object,erect and of same size as the object,inverted and larger than the object,inverted and smaller than the object,,Physics,Optics,erect and smaller than the object,1
Light year is the unit of the,distance,time,speed,intensity of light,,Physics,Optics,distance,1
"A light moves from denser to rarer medium, which of the following is
correct?",Energy increases,Frequency increases,Phase changes by \( 90^{\circ} \),Velocity increases,,Physics,Optics,Energy increases,1
"What is not an essential condition for
an observable interference pattern to
occur between the waves two sources?",The frequencies of the two sources must be equal,The sources must be coherent,The sources must emit waves of equal amplitide,The waves from the two sources must overlap,,Physics,Optics,The frequencies of the two sources must be equal,1
"If the point object is moved away from
mirror normal to screen then",fringe width will increase,fringe width will decrease,fringe width will first increase then decrease,Remain unchanged,,Physics,Optics,fringe width will increase,1
"The image of a real object in a plane
mirror is always:",Virtual,Erect,Laterally inverted with respect to the object,All of these,,Physics,Optics,Virtual,1
"Red and blue beams of light is incident
on a prism as shown in the figure.
Which of the following statements is
true?",The blue light bends more than the red light as the blue light has a longer wavelength.,The red light bends more than the blue light as the red light has a longer wavelength.,The blue light bends more than the red light as the blue light has a shorter wavelength.,"The red light bends more than the blue light as the red light has a shorter wavelength.
E. The red and blue lights bend by the same amount as all colors of light refract equally.",,Physics,Optics,The blue light bends more than the red light as the blue light has a longer wavelength.,1
"When the angle between incident ray
and mirror is increased. What will be
the effect on angle of reflection?
A . It will decrease","What will be
the effect on angle of reflection?
A . It will decrease",It will increase,It will remain constant,Can't be predicted,,Physics,Optics,"What will be
the effect on angle of reflection?
A . It will decrease",1
The change in focal length of an eye lens in human eye is caused by the action of the:,Pupil,Retina,Ciliary muscles,Iriss,,Physics,Optics,Pupil,1
"The power of a lens is negative. State
whether it is convex or concave?",Concave,Convex,Both \( A \& B \),can't say,,Physics,Optics,Concave,1
"A light ray travels from optically denser medium to optically rarer medium, if the angle of incidence and refraction at
point of incidence are \( \angle i \) and \( \angle \boldsymbol{r} \)
respectively, then find the angle of deviation in terms of \( \angle i \) and \( \angle r \)",\( \angle i+\angle r \),\( \frac{L}{L r} \),\( \angle i-\angle r \),\( \angle r-\angle i \),,Physics,Optics,\( \angle i+\angle r \),1
"Which of the following occurs when light is reflected from a smooth flat
glass surface, as shown above?",The light is somewhat intensified,The light is somewhat polarized,The light is focused,"The velocity of the light is reduced
E. The color of the light is shifted toward the blue end of the spectrum.",,Physics,Optics,The light is somewhat intensified,1
"Assertion
Power of the lens is larger if its focal length is smaller.
Reason
Power of the lens measures the ability to converge or diverge the refracted
rays.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Physics,Optics,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"In a Young's double slit experiment, constructive interference is produced at
a certain point \( P . \) The intensities of
light at \( \boldsymbol{P} \) due to the individual sources
are 4 and 9 units. The resultant
intensity at point \( \boldsymbol{P} \) will be-",13 units,25 units,\( \sqrt{97} \) units,5 units,,Physics,Optics,13 units,1
"Assertion
The refractive index of a prism depends only on the kind of glass of which it is made of and the colour of light.
Reason
The refractive index of a prism depends on the refracting angle of the prism and the angle of minimum deviation.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Physics,Optics,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"A convex lens of focal length \( 15 \mathrm{cm} \) is placed infront of a plane mirror at a distance \( 25 \mathrm{cm} \) from the mirror. Where
on the optical axis and from the centre of the lens should a small object
be placed such that the final image coincides with the object?",\( 15 \mathrm{cm} \) and on the opposite side of the mirror,\( 15 \mathrm{cm} \) and between the mirror and the lens,\( 7.5 \mathrm{cm} \) and on the opposite side of the mirror,\( 7.5 \mathrm{cm} \) and between the mirror and the lens,,Physics,Optics,\( 15 \mathrm{cm} \) and on the opposite side of the mirror,1
The laws of reflection hold true for:,plane mirrors only,concave mirrors only,convex mirrors only,all reflecting surfaces,,Physics,Optics,plane mirrors only,1
Which phenomena of light makes a pool of water appears to be less deep than it actually is?,Reflecion,Refraction,Diffraction,Lateral inversion,,Physics,Optics,Reflecion,1
"A biprism is placed at a distance of 50 \( \mathrm{mm} \) in front of a narrow slit illuminated by light of wavelength \( 600 \mathrm{nm} \). The virtual images formed by the biprism are \( 0.5 \mathrm{mm} \) apart. Find the width of the
fringes formed on a screen placed 0.75 \( \mathrm{m} \) apart in front of the biprism.",\( 0.96 \mathrm{cm} \),\( 0.096 \mathrm{cm} \),\( 0.0096 \mathrm{cm} \),9.6 \( \mathrm{cm} \),,Physics,Optics,\( 0.96 \mathrm{cm} \),1
"A concave spherical surface of radius of
curvature \( 10 \mathrm{cm} \) separates two
medium \( \boldsymbol{x} \) \& \( \boldsymbol{y} \) of refractive index \( 4 / 3 \& \)
\( 3 / 2 \) respectively. If the object is placed
along principal axis in medium \( X \) then:",image is always real,image is real if the object distance is greater than 90 \( \mathrm{cm} \),image is always virtual,image is virtual if the object distance is less than 90 \( \mathrm{cm} \),,Physics,Optics,image is always real,1
"The centre of curvature of a ..... mirror is
behind it.",convex,Concave,convex or concave,None of these,,Physics,Optics,convex,1
The bright streaks of light seen occasionally in the sky are,planets,satellites,meteors,constellations,,Physics,Optics,planets,1
White light is passed through a dilute solution of potassium permagnate. The spectrum produced by the emergent light is,Band emission spectrum,Line emission spectrum,Band absorption spectrum,Line absorption spectrum,,Physics,Optics,Band emission spectrum,1
"A man can see distinctly from a distance of \( 0.5 m . \) If he wants to read a
book placed at a distance of \( 25 \mathrm{cm} \), then
what kind of lens should he use??",Convex lens with focal length of \( -50 \mathrm{cm} \),Concave lens with focal length of \( -50 c m \),convex lens with focal length of \( 50 \mathrm{cm} \),Concave lens with focal length of \( 50 \mathrm{cm} \),,Physics,Optics,Convex lens with focal length of \( -50 \mathrm{cm} \),1
"Light of wavelength \( 6328 A \) is incident normally on a slit having a width of
\( 0.2 m m . \) The angular width of the central maximum measured from
minimum to minimum of diffraction
pattern on a screen 9.0 meters away will
be about",0.36 degree,0.18 degree,0.72 degree,0.09 degree,,Physics,Optics,0.36 degree,1
"Assertion
Mass of moving photon varies inversely as the wavelength.
Reason
Energy of the particle \( = \) Mass \( \times \) (speed
of light) \( ^{2} \)",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,If Assertion is incorrect but Reason is correct,,Physics,Optics,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"Magnification produced by plane mirror
is \( +1 . \) It means:",Image formed by plane mirror is greater than size of the object,Image formed by plane mirror is erect and of same size as the object,Image formed by plane mirror is smaller than size of object and is virtual,,,Physics,Optics,Image formed by plane mirror is greater than size of the object,1
"Assertion
Ratio of maximum intensity and minimum intensity in interference is 25
1. Hence amplitude ratio of two waves should be 3: 2
Reason
\( \frac{\boldsymbol{I}_{m a x}}{\boldsymbol{I}_{m i n}}=\left(\frac{\boldsymbol{A}_{1}+\boldsymbol{A}_{2}}{\boldsymbol{A}_{1}-\boldsymbol{A}_{2}}\right)^{2} \)",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Assertion is incorrect but Reason is correct,,Physics,Optics,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"A: Coloured spectrum is seen when we look through a cloth
R: Diffraction of light takes place when light is travelling through the pores of cloth","Both A and R are true, and R is not correct explanation of A","Both A and R are true, and R is correct explanation of A",A is true but R is false,A is false but R is true,,Physics,Optics,"Both A and R are true, and R is not correct explanation of A",1
"When a beam of light from an object
appears to meet at a point after reflection from a mirror then the image formed is known as:",Real image,Virtual image,Incident image,All,,Physics,Optics,All,4
Where should the object be placed to get the virtual image in case of convex lens?,object should be placed between \( F \) and 2 F,object should be placed between F and 0,object should be placed beyond 2F,object should be placed at 0,,Physics,Optics,object should be placed between \( F \) and 2 F,1
The reflection taking place from the walls of a building is called:,regular reflection,diffused reflection,multiple reflection,internal reflection,,Physics,Optics,regular reflection,1
The focal length is the distance from the optical center of the lens and its principal,focus,axis,center of curvature,Iens,,Physics,Optics,focus,1
"Q Type your question
a convex lens.
Arrange the steps in the proper
sequence.
(a) Place the lens on a V-shaped stand.
(b) Place the object at \( 2 F_{1} \)
(c) Place the object between \( 2 F_{1} \) and \( F_{1} \)
(d) Determine the focal length of the lens by focusing the lens to a distant object like a tree.
(e) Adjust the position of the screen behind the lens to obtain a clear image and study the nature of the image.
(f) Mark the positions of \( F_{1}, 2 F_{1}, F_{2} \)
and \( 2 F_{2} \)
(g) Focus the lens to a distant object like a tree.
(h) Place the object just behind \( 2 F_{1} \)
(i) Place the object at \( \boldsymbol{F}_{1} \)
(j) Place the object between \( F_{1} \) and optic centre of the lens and observe that the image formed is virtual.
\( A \cdot \) a f \( d h \) e \( g \) e b e ce ej","Place the lens on a V-shaped stand.
(b) Place the object at \( 2 F_{1} \)
(c) Place the object between \( 2 F_{1} \) and \( F_{1} \)
(d) Determine the focal length of the lens by focusing the lens to a distant object like a tree.
(e) Adjust the position of the screen behind the lens to obtain a clear image and study the nature of the image.
(f) Mark the positions of \( F_{1}, 2 F_{1}, F_{2} \)
and \( 2 F_{2} \)
(g) Focus the lens to a distant object like a tree.
(h) Place the object just behind \( 2 F_{1} \)
(i) Place the object at \( \boldsymbol{F}_{1} \)
(j) Place the object between \( F_{1} \) and optic centre of the lens and observe that the image formed is virtual.
\( A \cdot \) a f \( d h \) e \( g \) e b e ce ej",b a fhe gec,a dfge he bece iej,a df ge he cebeje,,Physics,Optics,"Place the lens on a V-shaped stand.
(b) Place the object at \( 2 F_{1} \)
(c) Place the object between \( 2 F_{1} \) and \( F_{1} \)
(d) Determine the focal length of the lens by focusing the lens to a distant object like a tree.
(e) Adjust the position of the screen behind the lens to obtain a clear image and study the nature of the image.
(f) Mark the positions of \( F_{1}, 2 F_{1}, F_{2} \)
and \( 2 F_{2} \)
(g) Focus the lens to a distant object like a tree.
(h) Place the object just behind \( 2 F_{1} \)
(i) Place the object at \( \boldsymbol{F}_{1} \)
(j) Place the object between \( F_{1} \) and optic centre of the lens and observe that the image formed is virtual.
\( A \cdot \) a f \( d h \) e \( g \) e b e ce ej",1
"Select the instrument that works on the
principle of multiple reflection of sound.",A. Watthour meter,Sonar,stethoscope,Decibel meter,,Physics,Optics,A. Watthour meter,1
Which of the following properties of light can be observed in the working of a periscope? This question has multiple correct options,Light does not travel in a straight line,Light reflects from a mirror,Light travels in a straight line,Light refracts through a mirror,,Physics,Optics,Light does not travel in a straight line,1
"A beam of a parallel rays is brought to a focus by a convex lens. If a thin concave lens of equal focal length is joined to the convex lens, the focus will be",Shifted to infinity,Shifted to a small distance,Remained undisturbed,Shifted to the back side,,Physics,Optics,Shifted to infinity,1
"Assertion
Thinner lenses have smaller power.
Reason

Power is directly proportional to the
focal length","Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion","Both Assertion and Reason are correct but Reason is
not the correct explanation for Assertion",Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Physics,Optics,"Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion",1
"In Young's double slit experiment with monochromatic source of light of
wavelength \( 6000 A^{\circ} \), if the path
difference is \( 1.5 \times 10^{-6} m, \) the point
becomes:",bright band,dark band,sometimes bright and sometimes dark,data insufficient,,Physics,Optics,bright band,1
"A light spring balance hangs from the hook of the other light spring balance and a block of mass \( M \) kg hangs from the former one. Then the true statement
about scale reading is",both the scales read \( M \) kg each,the scale of the lower one reads \( M \) kg and of upper on zero,the reading of the two scales can be anything but summ of the reading will be \( M \) kg,both the scales read \( M / 2 \mathrm{kg} \),,Physics,Optics,both the scales read \( M \) kg each,1
"A ray \( O P \) monochromatic light is
incident on the face \( A B \) of prism
\( A B C D \) near vertex \( B \) at an incident
angle of \( 60^{\circ} \) (see figure). If the refractive index of the material of the prism is \( \sqrt{3} \) which of the following is (are) correct?
rhis question has multiple correct options",The ray gets totally internally reflected at face \( c D \),The ray comes out through face AD,The angle between the incident ray and the emergent ray is \( 90^{\circ} \),"The angle between the incident ray and the emergent
ray is \( 120^{\circ} \)",,Physics,Optics,The ray gets totally internally reflected at face \( c D \),1
Interference event is observed,only in transverse waves,only in longitudinal waves,in both types of waves,none,,Physics,Optics,only in transverse waves,1
"Irregular reflection laws of
reflection.",obeys,violates,obeys sometimes,violates sometimes,,Physics,Optics,obeys,1
"Two mirrors are placed at right angles to each other as shown in the figure.
Total number of images of an object 0 placed between them, that are seen are:",Two,Three,Four,Six,,Physics,Optics,Two,1
Speed of light is maximum in:,glass,vaccumm,water,nylon,,Physics,Optics,glass,1
"When light passing through rotating nicol is observed, no change in intensity
is seen. What inference can be drawn?",The incident light is unpolarized.,The incident light is circularly polarized.,The incident light is unpolarized or circularly polarized.,The incident light is unpolarized or circularly polarizedd or combination of both,,Physics,Optics,The incident light is unpolarized.,1
"If a mirror forms a virtual image of a
real object then",it must be a convex mirror.,it must be concave mirror.,it must be a plane mirror.,it may be any of the mirrors mentioned above,,Physics,Optics,it must be a convex mirror.,1
"A plane mirror forms image \( I \) of an object 0 kept \( 10 \mathrm{cm} \) from the mirror. It is
found that when a Plano concave thin
lens is placed in front of and in contact with the mirror (plane surface of lens in contact with mirror), the position of
image formed by plane mirror does not change. Then the refractive index of lens and radius of curvature of its curved
surface are respectively:","\( 1.5,10 \mathrm{cm} \)","\( 2.5,10 \mathrm{cm} \)","\( \sqrt{2}, 10 \mathrm{cm} \)",All of these are possible,,Physics,Optics,"\( 1.5,10 \mathrm{cm} \)",1
"Three lenses in contact have a
combined focal length of \( 12 \mathrm{cm} \). When the third lens is removed the combined
focal length becomes \( 60 \mathrm{cm} \). The third
lens is :",a converging lens of focal length 30 cm,a converging lens of focal length 60 cm,a diverging lens of focal length 30 cm,a diverging lens of focal length 60 cm,,Physics,Optics,a converging lens of focal length 30 cm,1
A rubber string is tied to a nail on the wall. The rubber string is pulled gently to stretch slightly. Which of the following phenomena may occur after the release of the string?,Sound is produced,Rubber string moves up and down,The quality of sound changes with the tension of the string,All the above happen,,Physics,Optics,Sound is produced,1
"From below what are the properties of
concave mirrors?",Converging mirrors and form real and inverted image in front of the mirror,Diverging mirrors and form virtual and upright image behind the mirror.,Converging mirrors and form virtual and inverted image in front of the mirror.,Diverging mirrors and form real and inverted image in front of the mirror.,,Physics,Optics,Converging mirrors and form real and inverted image in front of the mirror,1
"A ray \( O P \) of monochromatic light is
incident on the face \( A B \) of prism
\( A B C D \) near vertex \( B \) at an incident
angle of \( 60^{\circ} \) (see figure). If the refractive
index of the material of the prism is \( \sqrt{3} \) which of the following is (are) correct?
This question has multiple correct options",The ray gets totally internally reflected at face \( C D \),The ray comes out through face \( A D \),"The angle between the incident ray and the emergent
ray is 90",The angle between the incident ray and the emergent ray is \( 120^{\circ} \),,Physics,Optics,The ray gets totally internally reflected at face \( C D \),1
"The human eye can focus objects at different distances by adjusting the focal length of the eye lens. This is due
to",presbyopia,accomodation,near-sightedness,far-sightedness,,Physics,Optics,presbyopia,1
